Code,Name,Address,City,Service Zone Code
GM002,Cty TNHH Draeger Medical Việt Nam,"41-43 Nguyễn Cơ Thạch, P An Lợi Đông, Tp Thủ Đức",HỒ CHÍ MINH,MD SOUTH
H01128,BỆNH VIỆN ĐA KHOA LONG AN,"211 Nguyễn Thông, phường 3, thành phố Tân An, tỉnh Long An",Long An,MD MEKONG
H01901,BỆNH VIỆN RĂNG HÀM MẶT THÀNH PHỐ HỒ CHÍ MINH,"263-265 Trần Hưng Đạo, phường Cô Giang, quận 1, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
DL01001_1,CÔNG TY TNHH THƯƠNG MẠI VÀ CÔNG NGHỆ KỸ THUẬT TNT,"5-A2 Nguyễn Khánh Toàn, Phường Dịch Vọng Hậu",HÀ NỘI,MD NORTH
H00008,BỆNH VIỆN ĐA KHOA HÀ NỘI - CAO BẰNG,"Tổ 11, phường Sông Bằng, thành phố Cao Bằng",CAO BẰNG,MD NORTH
H00010,BỆNH VIỆN ĐA KHOA NHẬT TÂN,"32 Phạm Ngọc Thạch, Tổ 14, Khóm Châu Long 7, Phường Châu Phú B, thành phố Châu Đốc",AN GIANG,MD MEKONG
H00012,BỆNH VIỆN ĐA KHOA HẠNH PHÚC AN GIANG,"234 Trần Hưng Đạo, phường Mỹ Thới, thành phố Long Xuyên",AN GIANG,MD MEKONG
H00033,BỆNH VIỆN ĐA KHOA VẠN PHƯỚC,"42 Cách Mạng Tháng Tám, phường Long Hương, thành phố Bà Rịa",BÀ RỊA–VŨNG TÀU,MD SOUTH
H00038,TRUNG TÂM Y TẾ HUYỆN TÂN THÀNH,"Đường 81, khu phố Vạn Hạnh, thị trấn Phú Mỹ, huyện Tân Thành",BÀ RỊA–VŨNG TÀU,MD SOUTH
H00041,TRUNG TÂM Y TẾ HUYỆN XUYÊN MỘC,"Số 338, quốc lộ 55, khu phố Thạnh Sơn, thị trấn Phước Bửu, huyện Xuyên Mộc",BÀ RỊA–VŨNG TÀU,MD SOUTH
H00044,TRUNG TÂM Y TẾ HUYỆN TÂN YÊN,"Thị trấn cao Thượng, huyện Tân Yên, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00060,TRUNG TÂM Y TẾ HUYỆN YÊN DŨNG,"Tổ dân phố 5, thị trấn Nham Biền, huyện Yên Dũng, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00064,TRUNG TÂM Y TẾ HUYỆN HIỆP HÒA," Tổ dân phố số 3, thị trấn Thắng, huyện Hiệp Hòa, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00076,SỞ Y TẾ TỈNH BẮC KẠN," Tổ 7, phường Đức Xuân, thành phố Bắc Kạn, tỉnh Bắc Kạn",BẮC KẠN,MD NORTH
H00087,THẨM MỸ VIỆN PAMAS,"21B Phạm Đình Hổ, phường Phạm Đình Hổ, quận Hai Bà Trưng",HÀ NỘI,MD NORTH
H00094,TRUNG TÂM Y TẾ THỊ XÃ GIÁ RAI,"Đường Trần Văn Sớm, phường 1, thị xã Giá Rai, tỉnh Bạc Liêu",BẠC LIÊU,MD MEKONG
H00107,TRUNG TÂM Y TẾ HUYỆN QUẾ VÕ,"Thôn Đỉnh, thị trấn Phố Mới, huyện Quế Võ, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00108,TRUNG TÂM Y TẾ HUYỆN TIÊN DU," Xã Liên Bão, huyện Tiên Du, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00110,TRUNG TÂM Y TẾ HUYỆN YÊN PHONG,"Thị trấn Chờ, huyện Yên Phong, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00114,TRUNG TÂM Y TẾ THỊ XÃ TỪ SƠN,"Phường Đồng Nguyên, thành phố Từ Sơn, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00127,TRUNG TÂM Y TẾ HUYỆN GIA BÌNH,"Số 2 đường Gia Định, thị trấn Gia Bình, huyện Gia Bình, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00128,TRUNG TÂM Y TẾ HUYỆN LƯƠNG TÀI,"Đường Hàn Thuyên, thị trấn Thứa, huyện Lương Tài, tỉnh Bắc Ninh ",BẮC NINH,MD NORTH
